X,Y,isinactive,lng,laststopid,vtype,bearing,globalid,lineid,ltype,routeid,delay,course,linename,lf,id,lastupdate,lat,finalstopid,objectid
16.574097,49.21862,false,16.574097,1528,2,45,{0BA5C2F1-B86E-4260-B8F8-997BFF0C2741},84,2,1169,1,08401,84,true,2030,2023/09/29 16:54:49.285+00,49.21862,1611,2988183535
16.642179,49.20171,false,16.642179,1665,2,225,{92EAC3BA-9A27-4731-BD81-30D8DBAFE60E},795,2,1025,0,07701,E75,true,7067,2023/09/29 16:54:49.285+00,49.20171,1809,2988183536
16.636995,49.184635,false,16.636995,1563,2,135,{3F7C3FFC-82E9-4F8F-95EF-62244085C873},49,2,5100,0,04903,49,true,7680,2023/09/29 16:54:49.285+00,49.184635,15130,2988183537
16.567448,49.176075,false,16.567448,1429,0,180,{E1B08328-1B17-4FA5-AFAD-C96D290F9B0E},8,0,5224,0,00814,8,true,1720,2023/09/29 16:54:49.285+00,49.176075,1384,2988183538
16.740767,49.186863,false,16.740767,1677,4,90,{683C33B6-2224-471D-B394-84660A8F86C3},106,4,29,1,10601,106,false,21935,2023/09/29 16:54:49.285+00,49.186863,16608,2988183539
16.580883,49.170776,false,16.580883,1021,0,225,{74A4B784-2366-49F6-A05D-C945C69AC14E},6,0,5217,0,00611,6,false,1606,2023/09/29 16:54:49.292+00,49.170776,1616,2988183540
16.616928,49.191944,false,16.616928,1746,0,270,{BE8CDCB8-E2F8-45C4-9E03-F2A227CE226B},9,0,5218,0,00909,9,true,1847,2023/09/29 16:54:49.299+00,49.191944,1069,2988183541
16.332838,49.314091,false,16.332838,13447,4,225,{EDE5D89F-97FE-490F-8026-E1515CAB2EFA},312,4,165,1,33302,312,true,21331,2023/09/29 16:54:49.286+00,49.314091,13127,2988183542
16.895487,49.036659,false,16.895487,16304,4,45,{05E3A66F-35E7-4447-8561-2EF20FDBE707},610,4,85,0,61002,610,true,21872,2023/09/29 16:54:49.286+00,49.036659,16301,2988183543
17.105297,49.112791,false,17.105297,16503,5,135,{245E7368-05F9-4207-A91E-551CD18A2F98},146,5,4155,0,14633,S6,false,30264,2023/09/29 16:54:49.286+00,49.112791,16650,2988183544
16.775955,49.015182,false,16.775955,15365,4,135,{A92C1D4B-D440-4E91-B2C5-D996C3C54AD8},612,4,19,0,61201,612,false,21983,2023/09/29 16:54:49.286+00,49.015182,15344,2988183545
16.771116,49.239433,false,16.771116,17202,4,90,{C4B0C9FD-12E0-474F-9537-39F2709ADB0F},701,4,72,0,70101,701,true,21986,2023/09/29 16:54:49.286+00,49.239433,1716,2988183546
16.570036,49.557033,false,16.570036,12736,5,-1,{816327FB-63EF-472D-A969-25383D116ED5},120,5,24535,5,12001,S2,true,30227,2023/09/29 16:54:49.286+00,49.557033,16212,2988183547
16.612581,49.191479,false,16.612581,1146,0,45,{7A49CD67-DEE7-4FE9-AF1E-4C1EA282E841},8,0,5218,0,00808,8,true,1726,2023/09/29 16:54:49.287+00,49.191479,1384,2988183548
16.583715,49.235603,false,16.583715,1756,0,270,{FA62590A-C2D4-4D88-803B-8B45D1E6074A},4,0,5503,5,00402,4,true,1735,2023/09/29 16:54:49.287+00,49.235603,1756,2988183549
16.359322,49.283787,false,16.359322,13348,4,315,{176B505C-B663-4DD0-B0F5-A1BC3F1CF2B9},312,4,52,2,31201,312,true,21972,2023/09/29 16:54:49.288+00,49.283787,13334,2988183550
16.572983,49.218174,false,16.572983,1528,1,225,{3543BC4C-DA7E-45BC-B646-9083BF6C271A},30,1,5150,0,03015,30,true,3320,2023/09/29 16:54:49.288+00,49.218174,1062,2988183551
16.592823,49.206535,false,16.592823,1552,0,315,{8CE10947-CD9B-4381-A988-0EECE8BFAA25},3,0,5213,1,00314,3,true,1902,2023/09/29 16:54:49.288+00,49.206535,1537,2988183552
16.550577,49.211864,false,16.550577,1213,2,135,{AAB7A79F-0B94-4D8C-B51C-267E3D4E05D0},67,2,5117,0,06719,67,true,7110,2023/09/29 16:54:49.288+00,49.211864,7524,2988183553
16.412413,49.386311,false,16.412413,13436,4,315,{A19F5A25-AECA-4C85-931A-9BFDEB8E0FB1},333,4,51,1,33301,333,true,21481,2023/09/29 16:54:49.289+00,49.386311,12508,2988183554
16.902321,49.110657,false,16.902321,16322,4,45,{7FA96726-BA6B-45EA-8784-C822509F5455},631,4,29,0,63102,631,true,21793,2023/09/29 16:54:49.289+00,49.110657,17423,2988183555
16.530991,49.227489,false,16.530991,1796,2,180,{43460B27-F5EE-4875-AB2A-1CBD844BDEAB},50,2,5101,0,05008,50,true,2683,2023/09/29 16:54:49.289+00,49.227489,1361,2988183556
16.597427,49.191738,false,16.597427,1428,0,270,{35105F82-52D7-4F72-A3CB-0C39ED355475},6,0,5219,0,00612,6,true,1903,2023/09/29 16:54:49.290+00,49.191738,1616,2988183557
16.599154,49.226246,false,16.599154,1286,2,180,{0376E619-70D6-4EEF-89D1-82C23BC241F2},84,2,1167,1,08417,84,true,2007,2023/09/29 16:54:49.290+00,49.226246,1611,2988183558
16.979353,48.948833,false,16.979353,16545,4,90,{287FCF3E-692D-4FDF-99B4-EFEC65D0ADBA},109,4,181,2,10921,109,true,21202,2023/09/29 16:54:49.290+00,48.948833,19001,2988183559
16.545898,49.219166,false,16.545898,1493,0,45,{A957E2E2-89C2-44E3-9C8D-D2095D7A95BC},1,0,5226,0,00103,1,true,1101,2023/09/29 16:54:49.290+00,49.219166,1553,2988183560
16.595369,49.179176,false,16.595369,1430,0,180,{A4AB5627-4BF9-4A57-A6B7-60D755296884},2,0,5223,1,00208,2,true,1906,2023/09/29 16:54:49.290+00,49.179176,15134,2988183561
17.161913,48.99086,false,17.161913,16817,4,315,{2C59D40A-93AC-46C9-A7A9-06F458EF674C},664,4,43,0,91202,664,true,22036,2023/09/29 16:54:49.291+00,48.99086,16608,2988183562
16.05736,48.852676,false,16.05736,18009,4,0,{BA16C3B6-089E-474B-B72E-AC756FDA523D},813,4,5,0,81301,813,true,21745,2023/09/29 16:54:49.291+00,48.852676,18406,2988183563
16.604031,49.078156,false,16.604031,15252,4,0,{DE81F448-91C5-462A-B2D7-CD805E1FDEF0},505,4,45,0,50501,505,true,22041,2023/09/29 16:54:49.291+00,49.078156,15181,2988183564
