#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-08T05:30:48Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T06:30:50Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T07:30:50Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T08:30:50Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T09:30:50Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T10:30:50Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T11:30:50Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T12:30:50Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T13:30:50Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T14:30:50Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T16:30:50Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T17:30:50Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T18:30:51Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T19:31:12Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T20:31:12Z,306,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T22:31:12Z,350,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T23:31:12Z,399,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T00:31:12Z,433,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T01:31:13Z,451,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T02:31:12Z,466,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T04:31:13Z,408,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T05:31:12Z,379,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T06:31:13Z,350,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T07:31:13Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T08:31:12Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T09:31:13Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T10:31:13Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T12:31:14Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T13:31:13Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T15:31:14Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T16:31:13Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T17:31:14Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T18:31:14Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T19:31:13Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T20:31:14Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T21:31:15Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-09T22:31:15Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T00:31:15Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T01:31:15Z,262,value,co_8h,BBMLA,SMBrno
